chartName,category,img,avail,description
Гистограмма,distribution,histogram.svg,TRUE,"Стандартная форма распределения. Небольшие промежутки между столбцами помогают увидеть форму данных."
Ящик с усами,distribution,boxplot.svg,TRUE,"Компактно сравнивает несколько распределений через медиану, квартили и диапазон значений."
Скрипичная диаграмма,distribution,violin.svg,FALSE,"Показывает форму сложного распределения подробнее, чем ящик с усами."
Возрастно-половая пирамида,distribution,population-pyramis.svg,TRUE,"Две зеркальные гистограммы показывают распределение населения по возрасту и полу."
Полоса отдельных наблюдений,distribution,dot-plot-strip-distribution.svg,FALSE,"Показывает каждое наблюдение, но требует аккуратной укладки при большом числе совпадающих значений."
Точечный диапазон,distribution,dot-plot.svg,TRUE,"Простой способ сравнить минимум, максимум и характерный уровень в нескольких категориях."
Штрих-код распределения,distribution,barcode.svg,FALSE,"Показывает все наблюдения и позволяет выделить отдельные значения."
Кумулятивная кривая,distribution,cumulative-curve.svg,FALSE,"Показывает накопленную частоту и хорошо выявляет неравномерность распределения."
Составные столбцы,part-whole,column-stacked.svg,TRUE,"Простой способ показать состав целого, если компонентов немного."
Нормированные составные столбцы,part-whole,bar-stacked-proportional.svg,TRUE,"Сравнивают доли в нескольких объектах, если структура не слишком сложна."
Круговая диаграмма,part-whole,pie.svg,TRUE,"Знакомая форма состава целого, но близкие по размеру сектора трудно сравнивать точно."
Кольцевая диаграмма,part-whole,doughnut.svg,TRUE,"Вариант круговой диаграммы, в центре которого можно разместить итог или пояснение."
Древовидная карта,part-whole,treemap.svg,TRUE,"Показывает иерархический состав целого, но мелкие прямоугольники сравнивать трудно."
Диаграмма Вороного,part-whole,voronoi.svg,FALSE,"Преобразует точки в области, каждая из которых ближе к своей центральной точке, чем к другим."
Солнечная диаграмма,part-whole,sunburst.svg,FALSE,"Показывает иерархию кольцами, но быстро становится сложной для чтения."
Полукруг,part-whole,arc.svg,FALSE,"Часто используется для распределения мест в парламенте или другой симметричной структуры."
Сетка из символов,part-whole,gridplot.svg,FALSE,"Хорошо показывает целые проценты и работает в виде нескольких небольших панелей."
Диаграмма Венна,part-whole,venn.svg,FALSE,"Используется главным образом как схема пересечения нескольких множеств."
Водопад,part-whole,waterfall.svg,TRUE,"Показывает, как положительные и отрицательные компоненты формируют итог."
Вертикальные столбцы,magnitude,column-magnitude.svg,TRUE,"Стандартная форма сравнения величин. Количественная шкала должна начинаться с нуля."
Горизонтальные столбцы,magnitude,bar-magnitude.svg,TRUE,"Подходят для длинных названий категорий. Количественная шкала должна начинаться с нуля."
Сгруппированные вертикальные столбцы,magnitude,column-grouped.svg,TRUE,"Сравнивают несколько рядов, но становятся трудными для чтения, когда рядов больше двух или трёх."
Сгруппированные горизонтальные столбцы,magnitude,bar-grouped-magnitude.svg,TRUE,"Сравнивают несколько рядов при длинных названиях категорий."
Состав и величина,magnitude,bar-stacked-proportional-magnitude.svg,TRUE,"Одновременно показывает общий размер и состав, если компонентов немного."
Пропорциональные символы,magnitude,symbol-proportional.svg,FALSE,"Работают при большом разбросе значений, когда точные небольшие различия не важны."
Пиктограмма,magnitude,isotope.svg,FALSE,"Подходит для целых значений. Дробить человеческую фигуру или другой символ ради десятых долей не стоит."
Горизонтальный лоллипоп,magnitude,lollipop-h-magnitude.svg,TRUE,"Сильнее выделяет отдельные значения, чем обычные столбцы."
Вертикальный лоллипоп,magnitude,lollipop-v-magnitude.svg,TRUE,"Сильнее выделяет отдельные значения, чем обычные столбцы."
Радарная диаграмма,magnitude,radar.svg,FALSE,"Компактно показывает несколько переменных, но их порядок сильно влияет на получившуюся форму."
Буллет-чарт,magnitude,bullet.svg,TRUE,"Сравнивает фактическое значение с целью и качественными диапазонами."
Параллельные координаты,magnitude,parallel coordinates.svg,FALSE,"Сравнивают многомерные наблюдения. Порядок осей важен, а значимые линии лучше выделять."
Хороплетная карта,spatial,basic-choropleth.svg,FALSE,"Показывает относительные показатели по территориям. Для абсолютных итогов подходит хуже."
Карта пропорциональных символов,spatial,proportional-symbol.svg,FALSE,"Показывает абсолютные значения, но небольшие различия в площади символов заметить трудно."
Потоки на карте,spatial,flow.svg,FALSE,"Показывают однозначное перемещение между географическими точками."
Контурная карта,spatial,contour.svg,FALSE,"Соединяет области с одинаковым значением. Для отклонений можно использовать расходящуюся цветовую шкалу."
Эквализированная картограмма,spatial,equalised-cartogram.svg,FALSE,"Заменяет территории одинаковыми регулярными формами, что удобно для равноправных избирательных округов."
Масштабированная картограмма,spatial,scaled-cartogram-value.svg,FALSE,"Растягивает и сжимает территории пропорционально выбранному показателю."
Карта плотности точек,spatial,dot-density.svg,FALSE,"Показывает местоположение отдельных событий или объектов. Важные пространственные рисунки стоит подписывать."
Пространственная тепловая карта,spatial,heat-map.svg,FALSE,"Кодирует значения в регулярной сетке интенсивностью цвета, не привязываясь к административным границам."
Диаграмма Санки,flow,sankey.svg,TRUE,"Показывает переходы между состояниями и помогает проследить итог сложного процесса."
Водопад процесса,flow,waterfall-flow.svg,TRUE,"Показывает последовательное изменение величины по этапам, включая положительные и отрицательные вклады."
Хордовая диаграмма,flow,chord.svg,FALSE,"Показывает двусторонние потоки в матрице, но при большом числе связей становится сложной."
Сетевая диаграмма,flow,network.svg,FALSE,"Показывает структуру и сложность взаимосвязей между объектами."
